Title,Link,Model,Price,Agency,KMs_Rum,Location
2012 GMC Terrain SLE-1 Sle Terrain | You Safety You Save!!,https://www.carpages.ca/used-cars/ontario/oakville/2012-gmc-terrain-8789423/,SLE-1 Sle Terrain | You Safety You Save!!,"$4,949",Oak-Land Ford,"289,347KM","Oakville, ON"
2008 Audi Q7 4.2 Premium,https://www.carpages.ca/used-cars/ontario/kitchener/2008-audi-q7-7631242/,4.2 Premium,"$4,950",Fahad Khan United Motorz Inc.,"241,336KM","Kitchener, ON"
2008 Ford Escape Limited-EXTRA CLEAN-AWD-LEATHER-AUX-ALLOYS,https://www.carpages.ca/used-cars/ontario/scarborough/2008-ford-escape-8255237/,Limited-EXTRA CLEAN-AWD-LEATHER-AUX-ALLOYS,"$4,990",Super Economy Auto Sales,"231,212KM","Scarborough, ON"
2008 Ford Escape Limited-EXTRA CLEAN-AWD-LEATHER-AUX-ALLOYS,https://www.carpages.ca/used-cars/ontario/scarborough/2008-ford-escape-8309412/,Limited-EXTRA CLEAN-AWD-LEATHER-AUX-ALLOYS,"$4,990",Golden Millennium Auto Sales,"231,212KM","Scarborough, ON"
2010 Chevrolet Equinox FWD 4DR,https://www.carpages.ca/used-cars/ontario/mississauga/2010-chevrolet-equinox-8770049/,FWD 4DR,"$4,990",Gardiner Motors,"198,000KM","Mississauga, ON"
2011 GMC Terrain SLE-1,https://www.carpages.ca/used-cars/ontario/pickering/2011-gmc-terrain-8801795/,SLE-1,"$4,995",Star Line Sales and Leasing,"203,171KM","Pickering, ON"
2010 Ford Edge AWD | LEATHER | MOONROOF | ALLOYS |,https://www.carpages.ca/used-cars/ontario/toronto/2010-ford-edge-8253484/,AWD | LEATHER | MOONROOF | ALLOYS |,"$4,995",Maple C Cars,"273,000KM","Toronto, ON"
2010 Ford Edge SEL AWD/Leather/Sunroof/Automatic/Bluetooth,https://www.carpages.ca/used-cars/ontario/scarborough/2010-ford-edge-8720663/,SEL AWD/Leather/Sunroof/Automatic/Bluetooth,"$4,995",D2 Auto Sales,"237,000KM","Scarborough, ON"
2011 Mitsubishi Outlander XLS | SOLD ASIS | ALLOYS | CLOTH INTERIOR |,https://www.carpages.ca/used-cars/ontario/barrie/2011-mitsubishi-outlander-8674493/,XLS | SOLD ASIS | ALLOYS | CLOTH INTERIOR |,"$4,999",Barrie Ford,"234,588KM","Barrie, ON"
2012 Dodge Journey ,https://www.carpages.ca/used-cars/alberta/calgary/2012-dodge-journey-8753636/,NA,"$5,000",Regal Auctions Ltd.,"173,585KM","Calgary, AB"
2012 Ford Escape Escape XLT,https://www.carpages.ca/used-cars/nova-scotia/halifax/2012-ford-escape-1222354/,Escape XLT,"$5,241",Steele Auto Group,"170,264KM","Halifax, NS"
2012 GMC Acadia SLT AS IS - Bose Sound - Sunroof - Third Row Seating,https://www.carpages.ca/used-cars/ontario/north-bay/2012-gmc-acadia-8778983/,SLT AS IS - Bose Sound - Sunroof - Third Row Seating,"$5,250",North Bay Mazda,"234,766KM","North Bay, ON"
2012 Ford Escape XLT,https://www.carpages.ca/used-cars/nova-scotia/dartmouth/2012-ford-escape-8776871/,XLT,"$5,400",Steele Auto Group,"256,060KM","Dartmouth, NS"
2013 Ford Flex SEL-AS-IS,https://www.carpages.ca/used-cars/ontario/mississauga/2013-ford-flex-8569733/,SEL-AS-IS,"$5,400",Danny & Sons Auto Sales Ltd,"351,080KM","Mississauga, ON"
2012 Hyundai Veracruz GLS,https://www.carpages.ca/used-cars/newfoundland-and-labrador/gander/2012-hyundai-veracruz-8707508/,GLS,"$5,450",Steele Auto Group,"194,500KM","Gander, NL"
2008 Jeep Compass Sport,https://www.carpages.ca/used-cars/ontario/north-york/2008-jeep-compass-8520467/,Sport,"$5,490",Carview Motors,"232,650KM","North York, ON"
2010 Mazda MAZDA5 GS,https://www.carpages.ca/used-cars/ontario/oshawa/2010-mazda-mazda5-8402991/,GS,"$5,490",Mint Auto Sales,"209,500KM","Oshawa, ON"
2012 Dodge Journey Fwd 4dr,https://www.carpages.ca/used-cars/ontario/kitchener/2012-dodge-journey-8773841/,Fwd 4dr,"$5,495",ABC Auto Repairs,"249,500KM","Kitchener, ON"
2011 Kia Rondo EX,https://www.carpages.ca/used-cars/quebec/vaudreuil-dorion/2011-kia-rondo-8280696/,EX,"$5,495",Groupe Capital Auto,"182,723KM","Vaudreuil-Dorion, QC"
2014 Chevrolet Equinox LS,https://www.carpages.ca/used-cars/nova-scotia/dartmouth/2014-chevrolet-equinox-8782139/,LS,"$5,500",Steele Auto Group,"215,649KM","Dartmouth, NS"
2011 Chevrolet Equinox LT 2 Years Power-train Warranty,https://www.carpages.ca/used-cars/ontario/vaughan/2011-chevrolet-equinox-8576327/,LT 2 Years Power-train Warranty,"$5,500",Topbillin Auto Sales,"215,000KM","Vaughan, ON"
2015 Kia Sorento EX,https://www.carpages.ca/used-cars/alberta/calgary/2015-kia-sorento-8577380/,EX,"$5,500",Regal Auctions Ltd.,"218,145KM","Calgary, AB"
2011 Dodge Journey R/T,https://www.carpages.ca/used-cars/alberta/calgary/2011-dodge-journey-8797745/,R/T,"$5,500",Regal Auctions Ltd.,"164,997KM","Calgary, AB"
2014 Dodge Journey R/T Rallye,https://www.carpages.ca/used-cars/alberta/calgary/2014-dodge-journey-8797667/,R/T Rallye,"$5,500",Regal Auctions Ltd.,"179,442KM","Calgary, AB"
2009 Mazda CX-7 ,https://www.carpages.ca/used-cars/alberta/calgary/2009-mazda-cx-7-8802380/,NA,"$5,500",Regal Auctions Ltd.,"194,546KM","Calgary, AB"
2009 Chevrolet Tahoe LT*LEATHER*8PASS*SOLD AS IS!!*,https://www.carpages.ca/used-cars/ontario/toronto/2009-chevrolet-tahoe-8409441/,LT*LEATHER*8PASS*SOLD AS IS!!*,"$5,500",Weston Motors Inc.,"353,000KM","Toronto, ON"
2010 Hyundai Tucson AWD 4dr I4 Auto GLS,https://www.carpages.ca/used-cars/ontario/scarborough/2010-hyundai-tucson-8801978/,AWD 4dr I4 Auto GLS,"$5,588",Why Buy New Motors,"273,500KM","Scarborough, ON"
2010 Jeep Liberty Sport 3.7L V6,https://www.carpages.ca/used-cars/alberta/edmonton/2010-jeep-liberty-8705348/,Sport 3.7L V6,"$5,700",Trans Sell Motors,"32,000KM","Edmonton, AB"
2009 Ford Escape XLT,https://www.carpages.ca/used-cars/ontario/hamilton/2009-ford-escape-8634971/,XLT,"$5,750",Auto Star Sales Ltd,"220,080KM","Hamilton, ON"
2008 Mercedes-Benz ML-Class ML320 CDI,https://www.carpages.ca/used-cars/ontario/hamilton/2008-mercedes-benz-ml-class-8795543/,ML320 CDI,"$5,799",Rim Ram Auto Sales,"282,025KM","Hamilton, ON"
2011 Mazda Tribute AWD I4 AUTO GX,https://www.carpages.ca/used-cars/ontario/toronto/2011-mazda-tribute-8789981/,AWD I4 AUTO GX,"$5,888",Etobicoke Fine Cars,"191,662KM","Toronto, ON"
2008 Ford Escape XLT,https://www.carpages.ca/used-cars/ontario/north-york/2008-ford-escape-8569610/,XLT,"$5,900",Carview Motors,"201,050KM","North York, ON"
2010 Ford Escape XLT,https://www.carpages.ca/used-cars/ontario/north-york/2010-ford-escape-8491938/,XLT,"$5,900",Carview Motors,"258,400KM","North York, ON"
2009 Hyundai Santa Fe HEATED SEATS*POWER GROUP*PICTURES COMING!!*,https://www.carpages.ca/used-cars/ontario/toronto/2009-hyundai-santa-fe-8788532/,HEATED SEATS*POWER GROUP*PICTURES COMING!!*,"$5,900",Weston Motors Inc.,"190,000KM","Toronto, ON"
"2010 Mazda Tribute Leather , 4 Door, Auto, 3/Y Warranty Available",https://www.carpages.ca/used-cars/ontario/toronto/2010-mazda-tribute-8398698/,"Leather , 4 Door, Auto, 3/Y Warranty Available","$5,900",Auto Cross Inc.,"275,000KM","Toronto, ON"
2011 Chevrolet Equinox ,https://www.carpages.ca/used-cars/ontario/scarborough/2011-chevrolet-equinox-8798135/,NA,"$5,900",Quality Auto Center,"210,222KM","Scarborough, ON"
2011 Nissan Rogue ,https://www.carpages.ca/used-cars/ontario/scarborough/2011-nissan-rogue-8798075/,NA,"$5,900",Quality Auto Center,"151,233KM","Scarborough, ON"
2010 Hyundai Tucson GL Tucson | Gl | You Safety You Save!!,https://www.carpages.ca/used-cars/ontario/oakville/2010-hyundai-tucson-8793299/,GL Tucson | Gl | You Safety You Save!!,"$5,949",Oak-Land Ford,"194,021KM","Oakville, ON"
2010 Kia Soul 5DR WGN MAN,https://www.carpages.ca/used-cars/ontario/newmarket/2010-kia-soul-8691623/,5DR WGN MAN,"$5,950",Bakers Auto Sales,"133,775KM","Newmarket, ON"
2008 Jeep Patriot ~Certified~ 3 YEAR WARRANTY~NO ACCIDENTS~,https://www.carpages.ca/used-cars/ontario/kitchener/2008-jeep-patriot-8766692/,~Certified~ 3 YEAR WARRANTY~NO ACCIDENTS~,"$5,950",Fahad Khan United Motorz Inc.,"268,323KM","Kitchener, ON"
"2012 Chevrolet Equinox 1LT SOLD AS TRADED, YOU CERTIFY, YOU SAVE!!",https://www.carpages.ca/used-cars/ontario/innisfil/2012-chevrolet-equinox-8769179/,"1LT SOLD AS TRADED, YOU CERTIFY, YOU SAVE!!","$5,950",400 Chrysler Dodge Jeep Ram Ltd.,"213,201KM","Innisfil, ON"
2009 Saturn Vue ,https://www.carpages.ca/used-cars/ontario/north-york/2009-saturn-vue-4237110/,NA,"$5,980",Auto Island Inc.,"232,622KM","North York, ON"
2008 Land Rover LR2 SE **Sunroof | Leather | AS TRADED SPECIAL**,https://www.carpages.ca/used-cars/saskatchewan/north-battleford/2008-land-rover-lr2-8765957/,SE **Sunroof | Leather | AS TRADED SPECIAL**,"$5,986",Bridges Chevrolet Buick GM,"341,941KM","North Battleford, SK"
2009 Chevrolet Equinox LS,https://www.carpages.ca/used-cars/ontario/oshawa/2009-chevrolet-equinox-8087056/,LS,"$5,989",R.E.R. Automobiles Ltd,"159,900KM","Oshawa, ON"
2011 Nissan Armada Platinum Edition,https://www.carpages.ca/used-cars/ontario/bolton/2011-nissan-armada-8414769/,Platinum Edition,"$5,990",Pickard Lane Leasing Ltd.,"360,151KM","Bolton, ON"
2010 Mitsubishi Outlander SOLD AS IS,https://www.carpages.ca/used-cars/ontario/nepean/2010-mitsubishi-outlander-8692442/,SOLD AS IS,"$5,994",Dilawri Chrysler,"163,117KM","Nepean, ON"
2009 Hyundai Santa Fe GL - Certified,https://www.carpages.ca/used-cars/ontario/oshawa/2009-hyundai-santa-fe-7639873/,GL - Certified,"$5,995",Olympia Auto Center,"292,000KM","Oshawa, ON"
2008 Pontiac Torrent LT,https://www.carpages.ca/used-cars/ontario/hamilton/2008-pontiac-torrent-8714309/,LT,"$5,995",Best Motors,"195,700KM","Hamilton, ON"
2011 Nissan Murano SV,https://www.carpages.ca/used-cars/ontario/north-york/2011-nissan-murano-8761856/,SV,"$5,995",Auto Resale Inc.,"243,001KM","North York, ON"
2009 Ford Escape XLT,https://www.carpages.ca/used-cars/ontario/guelph/2009-ford-escape-6651620/,XLT,"$5,995",PPLs Auto,"204,500KM","Guelph, ON"
2010 Ford Escape XLT 2.5L FWD 5Speed Manual Certified 207Km,https://www.carpages.ca/used-cars/ontario/rexdale/2010-ford-escape-8801483/,XLT 2.5L FWD 5Speed Manual Certified 207Km,"$5,995",Bisko Auto Sales,"207,000KM","Rexdale, ON"
2010 Ford Edge 4dr Limited AWD,https://www.carpages.ca/used-cars/ontario/north-york/2010-ford-edge-8797454/,4dr Limited AWD,"$5,995",Auto Resale Inc.,"221,001KM","North York, ON"
2009 Chevrolet Traverse 2LT,https://www.carpages.ca/used-cars/ontario/weston/2009-chevrolet-traverse-8222034/,2LT,"$5,995",Lawrence Auto Sales,"232,000KM","Weston, ON"
2011 Dodge Journey Fwd 4dr,https://www.carpages.ca/used-cars/ontario/kitchener/2011-dodge-journey-8773823/,Fwd 4dr,"$5,995",ABC Auto Repairs,"114,500KM","Kitchener, ON"
"2012 Hyundai Veracruz 1 Owner | AWD 4dr GLS | 7 Seater | Sold ""ASIS""",https://www.carpages.ca/used-cars/ontario/brampton/2012-hyundai-veracruz-8669855/,"1 Owner | AWD 4dr GLS | 7 Seater | Sold ""ASIS""","$5,995",BR Motors,"384,212KM","Brampton, ON"
2010 Ford Edge SE - CERTIFIED,https://www.carpages.ca/used-cars/ontario/oshawa/2010-ford-edge-2786970/,SE - CERTIFIED,"$5,995",Olympia Auto Center,"310,000KM","Oshawa, ON"
2010 Jeep Patriot north,https://www.carpages.ca/used-cars/ontario/hamilton/2010-jeep-patriot-8477412/,north,"$5,995",Fast & Good Auto,"149,879KM","Hamilton, ON"
2008 Jeep Compass 4WD 4dr Limited WE FINANCE ALL CREDIT!,https://www.carpages.ca/used-cars/ontario/london/2008-jeep-compass-8793974/,4WD 4dr Limited WE FINANCE ALL CREDIT!,"$5,995",5 Star Dealer Group,"201,317KM","London, ON"
2011 Dodge Journey ,https://www.carpages.ca/used-cars/ontario/north-york/2011-dodge-journey-8797175/,NA,"$5,995",Auto Resale Inc.,"215,001KM","North York, ON"
2008 Ford Edge SEL,https://www.carpages.ca/used-cars/ontario/mississauga/2008-ford-edge-8817965/,SEL,"$5,995",A-Line Automotive,"229,175KM","Mississauga, ON"
2009 Dodge Journey SE,https://www.carpages.ca/used-cars/ontario/st-catharines/2009-dodge-journey-7730887/,SE,"$5,999",Momo Cars,"256,921KM","St. Catharines, ON"
2011 Hyundai Santa Fe ,https://www.carpages.ca/used-cars/quebec/laval/2011-hyundai-santa-fe-8679740/,NA,"$5,999",Autos BB,"184,000KM","Laval, QC"
"2010 Volkswagen Tiguan ""Like NEW 4X4 SUV"" certified + FREE 6M warranty",https://www.carpages.ca/used-cars/ontario/ajax/2010-volkswagen-tiguan-8814317/,"""Like NEW 4X4 SUV"" certified + FREE 6M warranty","$5,999",Kelly and Sons Auto,"276,404KM","Ajax, ON"
2009 Hyundai Santa Fe GL,https://www.carpages.ca/used-cars/ontario/hamilton/2009-hyundai-santa-fe-8361063/,GL,"$5,999",Star Vendor Auto,"207,231KM","Hamilton, ON"
"2014 Dodge Journey SXT MODEL, 5 PASSENGER, BLUETOOTH",https://www.carpages.ca/used-cars/ontario/toronto/2014-dodge-journey-8388957/,"SXT MODEL, 5 PASSENGER, BLUETOOTH","$5,999",Good Fellows Auto Wholesalers,"224,898KM","Toronto, ON"
"2010 Jeep Compass ""Gas MISER"" certified + FREE 6M warranty",https://www.carpages.ca/used-cars/ontario/ajax/2010-jeep-compass-8801147/,"""Gas MISER"" certified + FREE 6M warranty","$5,999",Kelly and Sons Auto,"215,198KM","Ajax, ON"
2009 Hyundai Tucson GL (Certified Included + 3 Month Warranty),https://www.carpages.ca/used-cars/ontario/cambridge/2009-hyundai-tucson-8545895/,GL (Certified Included + 3 Month Warranty),"$5,999",Roxy Auto Inc,"189,426KM","Cambridge, ON"
2009 Mitsubishi Outlander ,https://www.carpages.ca/used-cars/quebec/laval/2009-mitsubishi-outlander-4734420/,NA,"$5,999",Autos BB,"193,000KM","Laval, QC"
2010 Dodge Journey SXT,https://www.carpages.ca/used-cars/nova-scotia/barrington/2010-dodge-journey-8590976/,SXT,"$6,000",Smith & Watt Chrysler,"190,000KM","Barrington, NS"
2013 Ford Edge SEL AS-IS | YOU CERTIFY YOU SAVE!,https://www.carpages.ca/used-cars/ontario/kitchener/2013-ford-edge-8711753/,SEL AS-IS | YOU CERTIFY YOU SAVE!,"$6,000",Kitchener Ford Ltd,"305,582KM","Kitchener, ON"
2008 Chevrolet Equinox LT  AS IS UNCERTIFIED,https://www.carpages.ca/used-cars/ontario/kitchener/2008-chevrolet-equinox-8751050/,LT  AS IS UNCERTIFIED,"$6,005",Kitchener Nissan,"243,932KM","Kitchener, ON"
2010 Ford Edge SEL  - SiriusXM -  Fog Lamps,https://www.carpages.ca/used-cars/ontario/sudbury/2010-ford-edge-8785640/,SEL  - SiriusXM -  Fog Lamps,"$6,200",Palladino Honda,"150,000KM","Sudbury, ON"
2011 Ford Edge CERTIFIED GREAT DEAL! BUY NOW!  WE FINANCE ALL CRE,https://www.carpages.ca/used-cars/ontario/london/2011-ford-edge-8632868/,CERTIFIED GREAT DEAL! BUY NOW!  WE FINANCE ALL CRE,"$6,245",5 Star Dealer Group,"313,650KM","London, ON"
2010 Honda Pilot EX-L AS-IS | YOU CERTIFY YOU SAVE!,https://www.carpages.ca/used-cars/ontario/kitchener/2010-honda-pilot-8701433/,EX-L AS-IS | YOU CERTIFY YOU SAVE!,"$6,250",Kitchener Ford Ltd,"233,047KM","Kitchener, ON"
2010 GMC Terrain SLT-1 AS TRADED,https://www.carpages.ca/used-cars/ontario/hamilton/2010-gmc-terrain-8789375/,SLT-1 AS TRADED,"$6,260",Airport Ford Lincoln Sales Limited,"163,831KM","Hamilton, ON"
2012 Kia Rondo ,https://www.carpages.ca/used-cars/quebec/laval/2012-kia-rondo-8776733/,NA,"$6,399",Autos BB,"176,000KM","Laval, QC"
2008 Jeep Patriot Limited ****CERTIFIED***3 YEAR WARRANTY***,https://www.carpages.ca/used-cars/ontario/kitchener/2008-jeep-patriot-8438553/,Limited ****CERTIFIED***3 YEAR WARRANTY***,"$6,450",Fahad Khan United Motorz Inc.,"147,652KM","Kitchener, ON"
2008 Mazda Tribute GX,https://www.carpages.ca/used-cars/ontario/hamilton/2008-mazda-tribute-8700659/,GX,"$6,450",Auto Star Sales Ltd,"154,700KM","Hamilton, ON"
2009 Nissan Rogue Sport ~CERTIFIED~3 YEAR WARRANTY~,https://www.carpages.ca/used-cars/ontario/kitchener/2009-nissan-rogue-8544803/,Sport ~CERTIFIED~3 YEAR WARRANTY~,"$6,450",Fahad Khan United Motorz Inc.,"217,774KM","Kitchener, ON"
2010 Jeep Patriot Sport ~CERTIFIED~3 YEAR WARRANTY~,https://www.carpages.ca/used-cars/ontario/kitchener/2010-jeep-patriot-8539472/,Sport ~CERTIFIED~3 YEAR WARRANTY~,"$6,450",Fahad Khan United Motorz Inc.,"211,274KM","Kitchener, ON"
2011 Nissan Rogue SL AWD,https://www.carpages.ca/used-cars/ontario/north-york/2011-nissan-rogue-8464773/,SL AWD,"$6,499",Carview Motors,"281,340KM","North York, ON"
2008 Buick Enclave CX (Certified Included + 3 Month Warranty),https://www.carpages.ca/used-cars/ontario/cambridge/2008-buick-enclave-8686646/,CX (Certified Included + 3 Month Warranty),"$6,499",Roxy Auto Inc,"184,052KM","Cambridge, ON"
2009 Dodge Journey SE ~ 4 CYLINDER ~  REAR CAMERA ~ SAFETY INCLUDED,https://www.carpages.ca/used-cars/ontario/toronto/2009-dodge-journey-8716178/,SE ~ 4 CYLINDER ~  REAR CAMERA ~ SAFETY INCLUDED,"$6,499",K & L Auto Sales,"129,600KM","Toronto, ON"
2013 Nissan Rogue SV,https://www.carpages.ca/used-cars/nova-scotia/halifax/2013-nissan-rogue-8695310/,SV,"$6,499",Steele Auto Group,"152,390KM","Halifax, NS"
2014 Chevrolet Equinox FWD 4DR LS,https://www.carpages.ca/used-cars/ontario/mississauga/2014-chevrolet-equinox-8816114/,FWD 4DR LS,"$6,500",Gardiner Motors,"183,000KM","Mississauga, ON"
2011 GMC Terrain SLE-2,https://www.carpages.ca/used-cars/ontario/komoka/2011-gmc-terrain-8740361/,SLE-2,"$6,500",Cars in Lobo,"172,657KM","Komoka, ON"
2013 Ford Escape 2 Years Power-train Warranty,https://www.carpages.ca/used-cars/ontario/vaughan/2013-ford-escape-8501813/,2 Years Power-train Warranty,"$6,500",Topbillin Auto Sales,"298,000KM","Vaughan, ON"
2012 Ford Escape XLT,https://www.carpages.ca/used-cars/alberta/calgary/2012-ford-escape-8784008/,XLT,"$6,500",Regal Auctions Ltd.,"176,241KM","Calgary, AB"
"2009 Honda Pilot 8 Passengers, Auto, 3 Years Warranty Available",https://www.carpages.ca/used-cars/ontario/toronto/2009-honda-pilot-8571683/,"8 Passengers, Auto, 3 Years Warranty Available","$6,500",Auto Cross Inc.,"385,000KM","Toronto, ON"
2010 Subaru Outback LIMITED NO ACCIDENTS I LEATHER I SUNROOF I HARMAN/KARDON BT,https://www.carpages.ca/used-cars/ontario/mississauga/2010-subaru-outback-7634704/,LIMITED NO ACCIDENTS I LEATHER I SUNROOF I HARMAN/KARDON BT,"$6,700",Tabangi Motors,"227,774KM","Mississauga, ON"
2012 GMC Terrain SLE-1,https://www.carpages.ca/used-cars/nova-scotia/halifax/2012-gmc-terrain-8782178/,SLE-1,"$6,782",Steele Auto Group,"145,533KM","Halifax, NS"
2010 Hyundai Tucson GL,https://www.carpages.ca/used-cars/alberta/calgary/2010-hyundai-tucson-8802383/,GL,"$6,800",Regal Auctions Ltd.,"181,149KM","Calgary, AB"
"2008 Buick Enclave AWD , 7 Passenger , 3 Years Warranty Available.",https://www.carpages.ca/used-cars/ontario/toronto/2008-buick-enclave-8419545/,"AWD , 7 Passenger , 3 Years Warranty Available.","$6,850",Auto Cross Inc.,"290,000KM","Toronto, ON"
2014 Kia Sportage LX,https://www.carpages.ca/used-cars/newfoundland-and-labrador/corner-brook/2014-kia-sportage-8790245/,LX,"$6,888",Steele Auto Group,"186,915KM","Corner Brook, NL"
2015 Jeep Patriot north,https://www.carpages.ca/used-cars/alberta/calgary/2015-jeep-patriot-4256412/,north,"$6,900",Regal Auctions Ltd.,"186,373KM","Calgary, AB"
2013 Ford Flex SEL | SOLD ASIS | ALLOYS| POWER WINDOWS AND LOCKS |,https://www.carpages.ca/used-cars/ontario/barrie/2013-ford-flex-8516507/,SEL | SOLD ASIS | ALLOYS| POWER WINDOWS AND LOCKS |,"$6,920",Barrie Ford,"260,522KM","Barrie, ON"
2010 Mazda Tribute FWD I4 Man GX,https://www.carpages.ca/used-cars/ontario/newmarket/2010-mazda-tribute-8691635/,FWD I4 Man GX,"$6,950",Bakers Auto Sales,"127,650KM","Newmarket, ON"
"2008 Jeep Compass Sport, Local, No Accidents, Power Group, iPod Hookup",https://www.carpages.ca/used-cars/british-columbia/surrey/2008-jeep-compass-8483598/,"Sport, Local, No Accidents, Power Group, iPod Hookup","$6,980",B.C. Dealers Trade-In Centre Ltd.,"162,541KM","Surrey, BC"
2010 GMC Terrain FWD 4DR SLE,https://www.carpages.ca/used-cars/ontario/north-york/2010-gmc-terrain-7689733/,FWD 4DR SLE,"$6,980",Auto Island Inc.,"210,610KM","North York, ON"
"2009 Ford Escape 4WD V6 Auto XLT, Leather Heated Seats, Sunroof, Clean!",https://www.carpages.ca/used-cars/british-columbia/surrey/2009-ford-escape-2687113/,"4WD V6 Auto XLT, Leather Heated Seats, Sunroof, Clean!","$6,980",B.C. Dealers Trade-In Centre Ltd.,"188,479KM","Surrey, BC"
2010 Hyundai Santa Fe V6 Auto GL,https://www.carpages.ca/used-cars/ontario/north-york/2010-hyundai-santa-fe-7739274/,V6 Auto GL,"$6,980",Auto Island Inc.,"270,482KM","North York, ON"
